%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1752630036234464883,57,1752630036234464883,map,0.311238809438,-0.0809495418801,0.134489352451,0.0732882984847,0.0022529861877,-0.168582231865,0.982956651629
1752630037234484910,58,1752630037234484910,map,0.320581302556,-0.0805017204192,0.138597840689,0.073138144407,0.00244546331778,-0.166791624421,0.983272790695
1752630038235413074,59,1752630038235413074,map,0.327579330479,-0.076958269575,0.143464845226,0.0704790244639,0.00268995933222,-0.158082563454,0.984903746092
1752630039234484910,60,1752630039234484910,map,0.338029963585,-0.0698374334554,0.149554123996,0.0658728777846,0.00279013477486,-0.145336877248,0.987182949269
1752630040234489917,61,1752630040234489917,map,0.349510953468,-0.0613978362732,0.155948013202,0.0598464520806,0.00311919926076,-0.131226496789,0.989539427369
1752630041234755039,62,1752630041234755039,map,0.35896332386,-0.0520030126728,0.161092746784,0.0532254404156,0.00286701230163,-0.114999161564,0.991934481221
1752630042234646081,63,1752630042234646081,map,0.362386610851,-0.0388615594713,0.166434874292,0.0439833573842,0.00301783125979,-0.0925778959459,0.994728956027
1752630043234802007,64,1752630043234802007,map,0.371531013891,-0.0293437696886,0.171288883556,0.0362488007875,0.00280069990215,-0.073185841154,0.996655414277
1752630044234467983,65,1752630044234467983,map,0.379751624097,-0.0161452247939,0.175339515362,0.0255484412983,0.00302034553642,-0.0499569997777,0.99841997373
1752630045234556913,66,1752630045234556913,map,0.390119127922,-0.00207905406916,0.179101740489,0.0143873741353,0.00218691813952,-0.0241270674243,0.999602976604
1752630046234508037,67,1752630046234508037,map,0.399611851376,0.00691363000257,0.183322128855,0.00752355202915,0.00216011391503,-0.00579622107867,0.999952561028
1752630047234455108,68,1752630047234455108,map,0.408685874322,0.0173855726015,0.186594179168,-0.0018173728693,0.00173871359483,0.0162655382324,0.999864546722
1752630048234507083,69,1752630048234507083,map,0.417801071005,0.0305356835297,0.189027909612,-0.0140595993217,0.00105684935258,0.0425222005237,0.998996029475
1752630049234462976,70,1752630049234462976,map,0.423115522022,0.0434473028384,0.191653312736,-0.0260622676902,0.000820930447283,0.0710183883886,0.997134132846
1752630050234620094,71,1752630050234620094,map,0.42845078604,0.0537716650957,0.194581626377,-0.0356010858392,0.000903445504189,0.0972861980094,0.994619085744
1752630051234528064,72,1752630051234528064,map,0.427649861794,0.0698326200524,0.194737018016,-0.0520220292732,0.000505645112196,0.13137014122,0.989967340282
1752630052234693050,73,1752630052234693050,map,0.431187339439,0.0796451190924,0.195151347116,-0.0631716344766,-0.00010039679613,0.159159397845,0.985229726618
1752630053234739065,74,1752630053234739065,map,0.438632185697,0.0863979285662,0.197833078637,-0.0692643923355,0.000311149745013,0.175098854732,0.982111364176
1752630054234518051,75,1752630054234518051,map,0.442122475883,0.0953034460122,0.199061767003,-0.078750580003,-0.000468082791085,0.194757191191,0.977684901865
1752630055237131118,76,1752630055237131118,map,0.447363846028,0.100960392716,0.200760990193,-0.0856718065353,-0.000619985864193,0.212298199717,0.973442051297
1752630056234555959,77,1752630056234555959,map,0.461641128139,0.103022940239,0.203677168186,-0.0861507380963,-0.00144143425495,0.215463993091,0.972703059346
1752630057234503984,78,1752630057234503984,map,0.47850405144,0.101599634657,0.206618141163,-0.0837430868068,-0.00320303248901,0.211438709654,0.973791823034
1752630058234484910,79,1752630058234484910,map,0.498457355106,0.0960490580908,0.213922883297,-0.076427617988,-0.00258070412705,0.194185980247,0.977979524598
1752630059234631061,80,1752630059234631061,map,0.53768253236,0.0749809213881,0.22431615056,-0.0508789702369,-0.00537234352839,0.148507845435,0.987586904577
1752630060234944105,81,1752630060234944105,map,0.561863455497,0.0641737083686,0.237030852957,-0.0413587853587,-0.00278716868227,0.114095866558,0.992604558503
1752630061234807014,82,1752630061234807014,map,0.580635331154,0.0486860108522,0.245697741948,-0.0281159687442,-0.00231032335499,0.0834028141481,0.996116518247
1752630062234608888,83,1752630062234608888,map,0.599112683892,0.0345063298829,0.250710197691,-0.0165520241084,-0.00310015424725,0.0486242015065,0.998675176601
1752630063234698057,84,1752630063234698057,map,0.617504173915,0.0137163160194,0.256727283167,0.00235552454784,-0.00277985255482,0.00403347420994,0.99998523284
1752630064234498977,85,1752630064234498977,map,0.637006826019,-0.00314252206533,0.2628676119,0.0140649304757,-0.00196392735875,-0.0290881753288,0.999475960215
1752630065234513044,86,1752630065234513044,map,0.655467338058,-0.0172091141635,0.271457555433,0.0250718669694,-0.00125239720765,-0.0531835497644,0.998269170203
1752630066234479904,87,1752630066234479904,map,0.688156959796,-0.0450040138326,0.28518450192,0.0475697384931,-0.000158470311919,-0.10957824141,0.992839216222
1752630067234476089,88,1752630067234476089,map,0.70166753309,-0.0600975742021,0.289532332475,0.0596665693237,-1.1811325765e-05,-0.13780722965,0.988660234604
1752630068234671115,89,1752630068234671115,map,0.713258509645,-0.0700589447786,0.294927953511,0.0682155255019,-0.000264739921068,-0.154878672846,0.985575556933
1752630069234499931,90,1752630069234499931,map,0.725859024373,-0.0764610064864,0.301134807029,0.0726982747045,0.000393696339784,-0.165464157109,0.983532620834
1752630070234483003,91,1752630070234483003,map,0.738163460606,-0.0810351249897,0.306468003289,0.0759660868344,0.000468695399326,-0.171510712248,0.982248954647
1752630071234487056,92,1752630071234487056,map,0.74750134977,-0.0895776951572,0.309947547456,0.0825302492386,0.000357275170811,-0.184158118825,0.979425559245
1752630072234507083,93,1752630072234507083,map,0.752600278386,-0.0940141360031,0.314307126646,0.0885273803042,-0.000476821389741,-0.190653658175,0.977657330015
1752630073234472990,94,1752630073234472990,map,0.759231761044,-0.0989595252637,0.317132747464,0.0915889106662,0.000522068703912,-0.203733448997,0.974732721814
1752630074237417936,95,1752630074237417936,map,0.768464771299,-0.102410884554,0.322452525808,0.0949278245672,0.00125485142197,-0.208662935559,0.973368847111
1752630075234483003,96,1752630075234483003,map,0.779016294323,-0.103092438082,0.326368501153,0.09454887557,0.000972445599575,-0.21150777284,0.972791876778
1752630076236893892,97,1752630076236893892,map,0.788156618823,-0.104176187363,0.330476588912,0.095135264278,0.00139262867336,-0.211745808209,0.972682401007
1752630077234504938,98,1752630077234504938,map,0.795949968108,-0.104200009519,0.33436480322,0.0950365335111,0.00202490434874,-0.211353449041,0.972776275338
1752630078234477996,99,1752630078234477996,map,0.800403794755,-0.103154937408,0.334740052037,0.0938763590217,0.0013702285653,-0.209608335461,0.9732675355
1752630079234493017,100,1752630079234493017,map,0.7987236484,-0.0975428139719,0.335657579306,0.0896567305923,0.00153461109641,-0.201174231895,0.975442587523
1752630080234477043,101,1752630080234477043,map,0.797424709222,-0.0899613514074,0.335567755207,0.0836472408033,0.0019483333431,-0.18899692259,0.97840662214
1752630081234467983,102,1752630081234467983,map,0.796981060046,-0.0816419359555,0.33595214701,0.0770061924956,0.00300812783834,-0.179283334746,0.980774432856
1752630082234463930,103,1752630082234463930,map,0.79916315189,-0.0755329184146,0.332507053898,0.0713006727519,0.00122096272117,-0.166667004027,0.983431151678
1752630083234479904,104,1752630083234479904,map,0.795863086428,-0.06831541697,0.334272563431,0.0661542179308,0.00128553536606,-0.153790695514,0.985885588825
1752630084234453916,105,1752630084234453916,map,0.795137441144,-0.0629524202348,0.331772215851,0.0616405981106,0.000581642279872,-0.143116544859,0.987784256946
1752630085234479904,106,1752630085234479904,map,0.793178119668,-0.0549441079615,0.332104384223,0.0558331813901,0.000995158058747,-0.132201203639,0.989648679617
1752630086234472036,107,1752630086234472036,map,0.789920690751,-0.0505983544578,0.329046971228,0.0514367483091,0.000630798052613,-0.126240981682,0.99066496597
1752630087234488964,108,1752630087234488964,map,0.782192859379,-0.0466574038335,0.324838535033,0.0483992720365,-4.18663179412e-05,-0.117999809361,0.991833435923
1752630088234473943,109,1752630088234473943,map,0.7737417386,-0.0410403927881,0.321245122707,0.043069187093,4.19686794303e-05,-0.107567334367,0.99326447736
1752630089234488010,110,1752630089234488010,map,0.765328834229,-0.0373067926188,0.316301593377,0.0396765625063,-0.00109358686648,-0.0963497358641,0.99455583067
1752630090234458923,111,1752630090234458923,map,0.754049904918,-0.030316764471,0.311776805814,0.0341296628395,-0.00103222055278,-0.0844104462228,0.99584586107
1752630091234489917,112,1752630091234489917,map,0.742032194037,-0.0226998106374,0.306304663839,0.028093756504,-0.00120927770054,-0.0705997644364,0.997108301827
1752630092234491109,113,1752630092234491109,map,0.731455552397,-0.0163163671194,0.301136493616,0.0219717343717,-0.00162283885158,-0.0572888368747,0.998114521996
1752630093234464883,114,1752630093234464883,map,0.71683224657,-0.00978031333245,0.296073073692,0.0176814081752,-0.00174666233433,-0.044328754389,0.998858985529
1752630094234474897,115,1752630094234474897,map,0.701800018421,-0.00133217338002,0.290121533174,0.0114193653199,-0.00234374263122,-0.0280050049579,0.999539805858
1752630095234610080,116,1752630095234610080,map,0.686632827748,0.00547401389557,0.284402640299,0.00620889470112,-0.00261585388324,-0.0148797375297,0.999866588455
1752630096234450101,117,1752630096234450101,map,0.67122109451,0.00948202155446,0.278980806095,0.00256400781863,-0.00276791419122,-0.00477041444777,0.999981500037
1752630097235375881,118,1752630097235375881,map,0.653957754643,0.016425145238,0.273712583182,-0.00347804365296,-0.00247292014111,0.00893443100946,0.999950981429
